Species1,Leaf_area,LMA,Leaf_N,Seed_mass,Stem_density,Height,LDMC,Leaf_th,Biogeo_status,Ende_status
Adenocarpus foliolosus,-1.808132707,0.018970242,2.231439418,0.288424608,0.511941263,1.101758131,1.100880529,-1.562114646,CE,Cla
Adenocarpus viscosus,-1.652036798,0.62905681,2.00997862,0.436821279,0.351349641,-0.093215754,1.105742896,-0.579230149,CE,Cla
Aeonium arboreum,0.530927947,0.550372709,-1.035576614,-2.2343788,-0.277260733,0.504271189,-1.99735261,1.602489756,CE,Cla
Aeonium canariense,1.367996542,1.430270569,-2.717615875,-1.923412551,-0.258796869,-0.883050529,-2.750879642,2.543233284,CE,Cla
Aeonium ciliatum,0.493938022,1.176345482,-1.411178585,-1.343556084,0.013278067,-0.093215754,-1.814386509,2.512528423,TE,Cla
Aeonium cuneatum,1.358782038,0.798058629,-1.780296327,-1.985261492,-0.055739391,0.063943869,-2.823770554,2.174888658,TE,Cla
Aeonium haworthii,0.098039448,1.290711094,-2.283103418,-2.419895778,0.699895072,-0.883050529,-2.15401509,3.061067154,CE,Cla
Aeonium lindleyi,-0.164332402,0.112586875,-1.843685128,-0.492136149,0.230871829,-0.690702696,-3.345662368,3.230180413,CE,Cla
Aeonium pseudourbicum,0.90216599,1.890213042,-1.908471179,-2.057340352,-0.160481081,-0.533543073,-1.806942578,2.781641965,TE,Cla
Aeonium sedifolium,-1.228585824,0.772851724,-2.125233984,-1.931729575,0.573020993,-0.883050529,-1.723192996,2.125993892,CE,Cla
Aeonium smithii,-0.019911636,0.500375237,-1.019348803,-1.394438307,-0.731049444,-0.533543073,-2.367974417,1.964238172,TE,Cla
Aeonium spathulatum,-0.533593747,-0.2484227,-0.736878569,-1.538418662,-0.044226367,-0.533543073,-1.717482647,1.090166274,CE,Cla
Aeonium tabulaeforme,0.231879324,0.071468305,-3.406653126,-1.905654333,-1.104931548,-0.533543073,-2.830147517,2.420386692,TE,Cla
Aeonium urbicum,0.917814324,1.894826048,-1.579775744,-1.581400604,-0.226930768,-0.184035617,-1.627303066,2.562506436,TE,Cla
Aeonium volkerii,-0.198940199,0.975825299,-1.867289119,-1.795747038,1.11625335,-0.883050529,-2.190004148,2.647461197,TE,Cla
Aichryson laxum,0.175704742,-0.751742416,0.767690782,-2.419895778,-2.403802061,-1.131030016,-2.224832941,0.768093905,CE,Cla
Aichryson pachycaulon,0.174271078,-1.133889107,1.026556998,-0.276797148,-2.653276007,-0.464546944,-2.647065253,0.853316874,CE,Cla
Aichryson parlatorei,-0.564726425,-1.562904223,-0.32725675,-0.470796163,-1.269718057,-2.078024414,-2.935387119,0.546999767,CE,Cla
Aichryson punctatum,-0.456399866,-0.916063452,-1.270083659,-1.455413582,-1.685348972,-0.533543073,-2.661081116,1.169665714,CE,Cla
Aizoon canariense,-0.363363567,-0.248016607,1.568565157,0.74535114,-0.916761833,-4.062833074,-1.188703751,0.823777562,NNE,NNE
Allagopappus canariensis,-0.560688095,-0.649158409,-1.096298331,-0.528695078,0.849715668,0.063943869,0.373269149,-0.071517644,CE,Cla
Andryala pinnatifida,0.136003491,-1.989222063,0.569508404,-1.239194007,-0.70672064,-0.093215754,-1.064863158,-1.01649892,CE,Cla
Anisantha rubens,-1.180536598,-0.960329988,-2.769096327,1.187273417,1.015391609,-0.533543073,1.123409359,-1.64370982,NNE,NNE
Apollonias barbujana,0.776258721,0.947562463,-1.040973487,2.379603291,1.10107975,2.681427682,1.185921333,-0.41101781,MAC,non_Cla
Arbutus canariensis,1.125194909,1.017466487,-0.542698528,0.184447012,0.706327018,1.891592906,1.074279189,-0.27682858,CE,non_Cla
Argyranthemum adauctum,0.428184502,-1.295131504,1.38370132,0.392950371,-0.015626391,0.063943869,-0.920818818,-0.182297849,CE,Cla
Argyranthemum broussonetii,0.577849105,-0.021399744,1.01879822,-0.051083807,0.686601496,0.256291702,-0.612645607,-0.4572082,CE,Cla
Argyranthemum coronopifolium,0.350824951,-0.801377002,0.315012132,0.687088977,0.566832421,0.063943869,-1.261927819,0.101424789,CE,Cla
Argyranthemum foeniculaceum,-0.462394486,0.200489368,-0.391180155,0.042256172,0.110292642,-0.093215754,-0.510344863,1.036713419,TE,Cla
Argyranthemum gracile,-0.57624734,-0.583283374,0.182530288,0.208068297,0.394384307,0.063943869,0.098874781,0.558814972,TE,Cla
Argyranthemum lemsii,0.000447124,-0.386694871,0.371751134,0.383520969,0.797117486,-0.690702696,-0.394026666,-0.387866484,TE,Cla
Argyranthemum sundingii,-0.557085185,0.388020626,-0.15281331,-0.561219185,0.380523678,-0.184035617,0.648289895,-0.179767013,TE,Cla
Argyranthemum tenerifae,-0.333577275,0.259359545,0.342083167,0.140052689,0.27338626,-0.690702696,-0.277198411,0.414833394,TE,Cla
Arisarum simorrhinum,1.149462598,-1.789251734,1.722335224,0.645344422,-1.880130972,-0.883050529,-1.493976398,-0.135180606,NNE,NNE
Aristida adscensionis,-0.795102959,0.631772974,0.08702318,-0.317706313,0.598233424,-0.285563587,1.225524502,-0.218355091,NNE,NNE
Arrhenatherum calderae,-0.229361538,-0.339334882,0.991575529,0.244954859,-0.742122254,-0.093215754,0.847915901,-0.954697332,CE,non_Cla
Artemisia ramosa,-0.96296231,-0.645013702,1.060819456,0.627173913,1.079287958,-0.285563587,0.386985338,0.139422073,CE,non_Cla
Artemisia reptans,-1.059969811,-1.168261994,1.362172107,0.020109759,0.936907343,-1.131030016,0.143110935,-0.038790985,NNE,NNE
Artemisia thuscula,0.135242757,-0.025818485,0.208853,-1.499291257,0.600204198,-0.093215754,0.574674974,-0.840629495,CE,non_Cla
Asparagus arborescens,-0.88863379,1.525268304,-0.275334219,0.916085861,0.99667201,0.504271189,0.63183392,0.748163427,CE,non_Cla
Asparagus fallax,-1.841912905,0.191319734,-0.773736461,1.390647401,0.132065357,0.504271189,0.648289895,0.325157296,CE,non_Cla
Asparagus pastorianus,-1.302690102,-0.198388889,-0.387069674,0.991688671,0.185263511,-0.093215754,0.044645613,0.474985355,NNE,NNE
Asparagus plocamoides,-1.598216088,0.632226612,0.537921606,1.017771651,0.438349993,1.101758131,1.172636787,-0.037679669,CE,non_Cla
Asparagus scoparius,-2.413158113,-0.358953579,0.725703104,1.082628392,0.163897249,0.853778644,0.853432459,-0.668158081,MAC,non_Cla
Asparagus umbellatus,-1.701618177,0.641000262,0.030294233,1.097127223,0.784108846,1.294105964,0.559066047,0.436695891,CE,non_Cla
Astydamia latifolia,1.901426053,0.273506125,-0.532140332,0.252017652,-3.730950236,-0.883050529,-1.939105666,1.078353836,NNE,NNE
Atalanthus arboreus,0.377859638,-0.469669491,0.246732836,0.346323017,0.92751419,0.504271189,-0.14002496,-0.210528386,CE,Cla
Atalanthus capillaris,0.231067926,0.430648193,-0.471244343,-0.007612314,0.539081356,0.256291702,-0.124191781,0.507259559,CE,Cla
Atalanthus microcarpus,0.117193195,-0.205862481,0.687440916,0.130249254,0.458041883,-0.093215754,0.018184184,0.11455942,TE,Cla
Atalanthus pinnatus,0.264918738,-0.280858852,-0.086072664,0.150450648,-0.1997993,0.311923355,-0.31204612,-0.321200777,CE,Cla
Avena fatua,0.533889965,-1.839938447,-0.726068172,0.898633428,-1.370441476,0.256291702,0.484021557,-1.203277861,NNE,NNE
Bencomia caudata,1.514591092,0.12330485,0.050155604,0.384356306,0.587533747,1.451265587,0.864474125,-0.607770111,MAC,Cla
Bencomia exstipulata,0.663464109,1.233367745,0.103598927,0.767696245,0.467659421,-0.093215754,0.999075239,-0.013510623,CE,Cla
Bosea yervamora,0.733631407,0.082679008,0.774518475,0.889387278,0.339758543,0.853778644,0.297732346,-0.455582701,CE,non_Cla
Brachypodium arbuscula,-0.521067658,-0.615683409,-0.075044604,0.1860271,0.165933535,-0.883050529,0.828867137,-1.758612605,CE,non_Cla
Bryonia verrucosa,1.352645895,-1.131323008,1.620903436,0.935270883,-1.551978365,0.504271189,-0.855159118,0.576747883,CE,non_Cla
Bufonia paniculata,-2.09630156,0.235265198,0.611654862,1.595096465,0.112982848,-1.288189638,2.199020719,-1.232516885,NNE,NNE
Bupleurum salicifolium,0.120754443,0.926893541,0.449871169,0.023975077,0.920954985,0.504271189,1.028757908,-0.077259942,MAC,Cla
Bystropogon canariensis,0.603955476,0.208538905,-0.833975626,-1.22565399,0.098102866,0.504271189,1.023060811,0.140367192,CE,Cla
Bystropogon origanifolius,-0.462838713,0.367041717,0.278720157,-1.009329449,0.432101227,0.364181261,0.43265064,-0.366689674,CE,Cla
Bystropogon plumosus,-0.335823883,0.332028144,0.014686452,0.079696213,0.560673636,0.256291702,0.938738977,-0.278901431,TE,Cla
Campylanthus salsoloides,-0.787612175,1.501459742,-1.34326562,-1.3181141,0.86079337,0.504271189,-0.122521272,1.797885118,CE,non_Cla
Canarina canariensis,0.788476245,-1.588628169,1.440681911,0.29768214,-3.476472953,0.853778644,-0.732994413,-0.777903479,CE,non_Cla
Carduus clavulatus,1.770328692,-0.205474355,0.612445962,0.145823504,-0.957212773,-0.285563587,-0.610224533,-0.500337151,CE,non_Cla
Carduus volutarioides,-0.524419847,-0.07497444,-0.631278065,0.280629015,-0.60278981,-0.400666505,0.546466348,-1.841331844,TE,non_Cla
Carex canariensis,0.520442249,-0.935378512,0.193070423,-0.164763152,-1.175985556,0.311923355,0.223379388,-0.68603892,CE,Cla
Carex paniculata,0.531601454,0.349437891,-0.213212271,-0.694662111,-1.478721639,0.311923355,0.468827994,-0.325521597,TE,non_Cla
Carex perraudieriana,1.116084361,-0.906256496,0.779514716,0.188566839,-2.425773544,0.196820437,-0.063005273,-0.720628278,CE,non_Cla
Carlina salicifolia,0.388128003,0.58016301,-0.805586757,-0.546902147,0.526109736,0.504271189,0.740172403,-0.252254431,MAC,Cla
Carlina xeranthemoides,-0.208002786,0.049035218,-0.017905384,-0.10648862,0.108122503,-0.533543073,0.413038994,-0.573790827,TE,Cla
