Scientific_name,SLA,WD,H,Nmass
Acacia confusa,7.9114,0.734,15,29.6
Acacia koa,12.649,0.5754,33.002,30.4871
Acacia koaia,10.927092,0.77,15.24,28.489509
Albizia saman,11.9089,0.495,33.76,33.5011
Aleurites moluccanus,14.18454005,0.3833,17.5,29.5215345
Alphitonia ponderosa,12.33912572,0.5,24.5,29.15649447
Alyxia stellata,7.9365,0.703161,2.4144,10.3
Antidesma platyphyllum,12.0192,0.67,12.5,21.5
Antidesma pulvinatum,13.958,0.62,12,14.6
Araucaria heterophylla,9.983081765,0.498593,25.001866,13.7975865
Archontophoenix alexandrae,12.25103019,0.537513194,20,16.56284832
Ardisia elliptica,7.9568,0.62,11.5,17.97
Bobea brevipes,11.63642863,0.65,10,17.51502929
Bobea elatior,12.50648973,0.670825,9.605474,17.51513279
Bobea sandwicensis,12.52617413,0.65,7.572,17.82517029
Bocconia frutescens,10.85338373,0.507885,6,11.5
Broussaisia arguta,12.0492,0.1931,5,14.1948
Casuarina equisetifolia,2.7739,0.808,29.5855,16.3743
Casuarina glauca,7.905923596,0.7548,19.572,17.63259431
Cecropia obtusifolia,13.7755,0.2948,26.8871,26.6518
Charpentiera ovata,11.677796,0.484434,12,26.23193
Cheirodendron forbesii,9.247473144,0.47,10.87663867,16.895168
Cheirodendron platyphyllum,10.13557873,0.47,7.81,16.811443
Cheirodendron trigynum,10.2572,0.3916,15.12,14.6806
Chenopodium oahuense,11.1625,0.5,9.539944833,33.5
Chrysophyllum oliviforme,8.761959032,0.8167,4.8768,13.985558
Cinnamomum burmanni,8.8999644,0.49,20,15
Cinnamomum verum,12.8287,0.4876,13,17.38675
Citharexylum caudatum,11.0748,0.6467,9.144,22.2167
Claoxylon sandwicense,15.16442605,0.35,6,25.820038
Clermontia arborescens,13.470524,0.5,6,30.617372
Clermontia kakeana,14.2265186,0.353317,9.357384,29.819772
Clermontia parviflora,16.049,0.2487,10.479446,29.421
Clidemia hirta,23.2862,0.477545694,3,19.82
Clusia rosea,3.0622,0.6312,18.288,10.2834
Cocos nucifera,12.34422431,0.529727194,23.8587,16.56727832
Colubrina oppositifolia,11.8624,0.7,18.30148067,29.475
Coprosma foliosa,14.44047606,0.48,8,18.416991
Coprosma longifolia,9.3897,0.71,5,21.4667
Coprosma ochracea,18.8649,0.71,7.572,15.2
Coprosma rhynchocarpa,11.30436014,0.5065,15,20.026
Coprosma waimeae,11.80875999,0.71,4,18.46965033
Cordyline fruticosa,13.94456355,0.56677,3.032,15.93929949
Cryptomeria spp.,9.983081765,0.498593,25.246568,13.7975865
Cyanea angustifolia,13.532443,0.47621,5,30.609539
Cyanea hirtella,13.1195,0.473723,6,32.4833
Cyrtandra longifolia,16.07756906,0.605203,4,17.79560239
Dillenia suffruticosa,11.3901,0.45,5.9,18.6108
Diospyros hillebrandii,7.652122634,0.7,12.62,14.50403771
Diospyros sandwicensis,5.4584,0.7554,15,10.9971
Dodonaea viscosa,7.3493,0.9322,4.5476,15.8058
Dracaena aurea,12.47559473,0.542961194,12,16.19679332
Dracaena konaensis,13.29596187,0.534987,6,16.28278232
Dracaena rockii,12.55880823,0.530559694,10.4120775,16.24279282
Dubautia plantaginea,12.3080055,0.65,7.0052,28.19514589
Erythrina sandwicensis,13.0208,0.31,12.62,33.468
Eucalyptus deglupta,20.67888841,0.4503,67.5,19.525
Eucalyptus globulus,7.198192695,0.700328571,44.60760476,13.93742857
Eucalyptus robusta,4.9554,0.6331,28.3816,12.0333
Eucalyptus saligna,25.5576,0.645,46.9446,19.0242
